outcome,candidate,family,entity_level,n,n_entity_seasons,var_share_between_entity,dr2,dr2_sign,p_N1_within_entity,null_sd_N1,null_mean_N1,p_N2_entity_swap,null_sd_N2,null_mean_N2,p_correct_level,p_row_level_NAIVE,null_sd_row_NAIVE,inflation_N1_over_row,inflation_N2_over_row,corr_with_ref_residual,corr_with_abs_resid,spread_y_decile,spread_refresid_decile,mean_minutes,mae_reference,mae_with_candidate,skill_vs_reference,paired_dr2_cand_minus_ref,paired_p_cluster,paired_p_row_NAIVE,dr2_over_refA,cell_key,t_N1,p_familywise_N1,t_N2,p_familywise_N2,p_familywise_maxt
ppm,A01_opp_efg_allowed,A,opp_team_season,14852,48,0.6626352956913184,0.0007493126225815922,1.0,0.8286189683860233,0.00031828996759348486,0.0010412798039389542,0.004991680532445923,0.00012130964921172408,8.984795999168941e-05,0.8286189683860233,0.0033277870216306157,7.667832281319028e-05,4.150977172113268,1.582059241270419,0.029786241541695378,-0.0018084851169128699,0.02289761573285959,0.02414632175257545,21.649302001975045,0.1787762041903927,0.17802830515439358,0.004183437272236912,0.011218659843246888,0.0004997501249375312,0.0004997501249375312,0.0007711378944579797,ppm|A01_opp_efg_allowed,-0.917299353054879,1.0,5.436209459636029,0.2545757071547421,1.0
ppm,A02_opp_ts_allowed,A,opp_team_season,14852,48,0.720507768780405,0.0008046485441452735,1.0,0.8336106489184693,0.00028187158167035126,0.0010681882502518276,0.0033277870216306157,0.0001323661863705032,9.516241228992327e-05,0.8336106489184693,0.0033277870216306157,7.910008224621197e-05,3.563480260273052,1.6734013747102279,0.030866243999399304,0.0011409620585721455,0.026217023324029143,0.02913208870852078,21.649302001975045,0.1787762041903927,0.17802411221214107,0.004206890853609702,0.011273995764810571,0.0004997501249375312,0.0004997501249375312,0.000814218492529952,ppm|A02_opp_ts_allowed,-0.9349637325793407,1.0,5.360025481654685,0.27121464226289516,1.0
ppm,A03_opp_paintpts_allowed,A,opp_team_season,14852,48,0.7485127964640633,0.0002528109043472104,1.0,0.6921797004991681,0.0001551084088496434,0.00033305038632716285,0.13976705490848584,0.0001556534115030141,0.00011896504200074506,0.6921797004991681,0.033277870216306155,7.991209613685406e-05,1.9409878647659464,1.9478078917670822,0.017301279444342715,0.0018745331372781269,0.026082551161088208,0.030936350766721632,21.649302001975045,0.1787762041903927,0.17807181771298658,0.003940046051408297,0.010722158125012508,0.0004997501249375312,0.0004997501249375312,0.00030678356838665,ppm|A03_opp_paintpts_allowed,-0.5173122629201474,1.0,0.8598967478709808,1.0,1.0
ppm,A04_opp_blk,A,opp_team_season,14852,48,0.7201266475172944,2.516454267036495e-05,1.0,0.5424292845257903,4.721301747174128e-05,4.357412120777622e-05,0.6622296173044925,0.00013364686354087605,0.00010257585294611283,0.6622296173044925,0.5357737104825291,9.188223030787318e-05,0.5138427453659199,1.4545452705388253,0.005458492715042325,0.02198087412414591,-0.005969705314680662,-0.0053836842255060215,21.649302001975045,0.1787762041903927,0.17810485580184196,0.003755244673590674,0.010494511763335648,0.0004997501249375312,0.0004997501249375312,2.41629068404688e-05,ppm|A04_opp_blk,-0.3899259044061328,1.0,-0.5792227982370236,1.0,1.0
ppm,A05_opp_fg3pct_allowed,A,opp_team_season,14852,48,0.6886485338863164,0.0005428032184260027,1.0,0.8252911813643927,0.0002304388786511814,0.0007697809540132555,0.008319467554076539,0.00011369423287314565,8.334758370640847e-05,0.8252911813643927,0.0033277870216306157,7.491658711219222e-05,3.075939355140203,1.5176109491330874,0.025351646965582498,-0.00495046061149906,0.01704167038541321,0.01597983668352234,21.649302001975045,0.1787762041903927,0.1780727796813556,0.003934665198999099,0.011012150439091305,0.0004997501249375312,0.0004997501249375312,0.0005098447320978526,ppm|A05_opp_fg3pct_allowed,-0.984980212175187,1.0,4.041151631958605,0.5740432612312812,1.0
ppm,A06_opp_fg3a_share_allowed,A,opp_team_season,14852,48,0.7640922048753858,1.8367951266040987e-05,1.0,0.23627287853577372,2.1015471404703644e-05,1.4009467498732918e-05,0.6838602329450915,0.00014212728024110742,0.00010717615253898976,0.6838602329450915,0.5873544093178037,7.52045815675419e-05,0.27944403075801255,1.8898752878966774,0.004663531895569406,0.00202339671800325,-0.0059164443884542894,-0.006289921064310286,21.649302001975045,0.1787762041903927,0.17809564521852453,0.0038067648597315262,0.01048771517193133,0.0004997501249375312,0.0004997501249375312,2.5635670806377585e-05,ppm|A06_opp_fg3a_share_allowed,0.20739405190466303,1.0,-0.6248497904293451,1.0,1.0
ppm,A07_opp_ftrate_allowed,A,opp_team_season,14852,48,0.7997649620539757,0.0001962917011716869,1.0,0.9217970049916805,0.00014186505273090482,0.00036524541245244046,0.17304492512479203,0.00013062640483584487,0.00010242303624137162,0.9217970049916805,0.07820299500831947,8.228156951600866e-05,1.7241413060710227,1.5875536356951754,0.01524441187978309,0.005953425741033487,0.006675992570441047,0.009291081708009637,21.649302001975045,0.1787762041903927,0.17806375594529733,0.003985140239003093,0.01066563892183699,0.0004997501249375312,0.0004997501249375312,0.00018671233269154303,ppm|A07_opp_ftrate_allowed,-1.1909466639485313,1.0,0.7186040605517531,1.0,1.0
ppm,A08_opp_pf,A,opp_team_season,14852,48,0.8122730223774802,0.000408389490025078,1.0,0.5906821963394343,0.00014896374845657718,0.00045871163508935924,0.06156405990016639,0.0001371978054264085,0.00011161164521242423,0.5906821963394343,0.008319467554076539,8.15621189827061e-05,1.8263839919137277,1.6821265452347924,0.02198944314376274,0.003198452059953294,0.009160985363073637,0.013070551669817833,21.649302001975045,0.1787762041903927,0.17804544700445477,0.004087552866709809,0.010877736710690377,0.0004997501249375312,0.0004997501249375312,0.00035811002513069714,ppm|A08_opp_pf,-0.33781470717320256,1.0,2.1631384255037696,0.9866888519134775,1.0
ppm,A09_opp_stl,A,opp_team_season,14852,48,0.7791346528167105,0.0005495909567453073,-1.0,0.36938435940099834,0.00015790142214783422,0.0005113386681360758,0.021630615640599003,0.00014544405848865904,9.64496084498705e-05,0.36938435940099834,0.0033277870216306157,6.598538666108204e-05,2.3929756289654955,2.2041858940025194,-0.02550946853070977,-0.002764564120663038,-0.024275854720894052,-0.02363292829265664,21.649302001975045,0.1787762041903927,0.17803387315656555,0.004152292175510053,0.01101893817741059,0.0004997501249375312,0.0004997501249375312,0.0005913609041371293,ppm|A09_opp_stl,0.2422542374154047,1.0,3.115571395656361,0.8286189683860233,1.0
ppm,A10_opp_defrtg,A,opp_team_season,14852,48,0.7713559695277252,0.0014430974149688093,1.0,0.870216306156406,0.000373935797957944,0.0018564077887907326,0.0016638935108153079,0.00013857962499235385,9.673404066465961e-05,0.870216306156406,0.0016638935108153079,7.764534353154522e-05,4.815946210683245,1.7847770218963959,0.04133573548840519,0.0048104039456266425,0.02745376613840861,0.0272682549561356,21.649302001975045,0.1787762041903927,0.17794182733647326,0.00466715834860687,0.011912444635634078,0.0004997501249375312,0.0004997501249375312,0.0015087657892969193,ppm|A10_opp_defrtg,-1.1052976903495282,1.0,9.715449687343543,0.009983361064891847,1.0
